news_id	date	text
1	2019-01-11T10:32:21	Heavy rains which fell for about three hours in Lilongwe yesterday caused floods that washed away bridges and damaged houses.A videos shared on social media shows Chipasula Bridge crumbling due to the flooding.The newly built Kawale Bridge that connects town and Kawale was also damaged by the heavy rains.According to Department of Disaster Management Affairs, the floods also damaged houses and property in various townships.A preliminary report on the assessment conducted by the Lilongwe city council has indicated that 109 households (approximately 600 people) have been affected in Kaliyeka Township.Some of the areas which were affected by the floods include Biwi, Area 22, Chipasula Mchesi, Kawale and Area 36 Townships.Meanwhile Lilongwe City council continues to assess the extent of damage in the remaining townships and is expected to hand over a report to the Department Disaster Management Affairs.Minister of Homeland Security, Nicholas Dausi is also expected to visit the affected places on Friday.Recently, Mtandire area was effected by the floods where some people lost their lives and properties.Malawi floods death toll hits 28.
2	2019-03-10T09:48:43	The Department of Disaster Management Affairs (DoDMA) says 28 people have died and 124 injuries following heavy rains that hit the Sour then Region last week.A total of 45, 312 households (approximately 226,560 people) have been affected in 14 affected districts across the country.The department continues to provide and coordinate search and rescue operations as well as the provision of relief assistance to the affected people.On Saturday, Minister of Homeland Security Nicholas Dausi, whose ministry is also responsible for disaster management affairs visited people and places affected by the floods in Chikwawa and Mulanje districts.Flanked by his deputy Charles Mchacha, Dausi assured the affected people of continued government support in form of search and rescue operations and provision of relief assistance.Heavy rains that poured from Tuesday caused flooding in 14 districts of the country, leading to the death of people, causing injuries and affecting thousands of households.President Prof. Arthur Peter Mutharika on Friday declared State of Disaster in areas hit by the on-going rains and floods.Government, through the Department of Disaster Management Affairs (DoDMA), in collaboration with the Malawi Defence Force, The Malawi Police Service and humanitarian partners deployed search and rescue teams in the affected areas. Government also dispatched relief items for distribution to the affected people.UN chief saddened by deaths caused by Malawi floods.
3	2019-03-12T17:18:22	UN Secretary-General António Guterres has extended his condolences to the families of flood victims across Malawi.At least 28 people have died over the past week following heavy trains that caused flooding.In a statement released on Monday, Mr. Guterres said that he was “deeply saddened" by the loss of life and the “significant damage to people’s homes and livelihoods" caused by the heavy rains and subsequent flooding.The United Nations expressed its solidarity with the Malawian authorities, and committed to support them as they respond to the humanitarian needs of the population. The UN response has involved several main agencies.The World Food Programme (WFP) has deployed two boats to accompany the assessment and response; the UN Children’s’ Fund (UNICEF) is providing drones; and the UN Food and Agriculture Organization (FAO), in collaboration with the WFP, will support mapping using satellite imagery.Mutharika tells flood victims no one will die of hunger.
4	2019-03-13T03:08:25	President Peter Mutharika on Tuesday assured Malawians affected by the recent disaster that no one will die of hunger as government will ensure a timely response with relief items to the victims.Mutharika said this when he visited some of the victims from Balaka at Kanyimbo Primary school ground in the area of Traditional Authority Nkaya before proceeding to Mangochi.“I was in the northern region for other official duties but I had to cancel my programs just to visit all the districts that have been hit by the disaster.“Right now I am proceeding to Mangochi and tomorrow I will be in Zomba and Machinga, until I visit all the 10 districts that have been affected by the disaster. Let me assure you that no one is going to die of hunger as long as I am the President of this country," said Mutharika.He then said he had instructed that cement and iron sheets be made available to all the affected households from the Descent Affordable Housing Subsidy program to ensure that they are able to rebuild their houses in time.On his part, Traditional Authority Mkaya hailed the president for the gesture describing it as timely.“As you have seen for yourself, your Excellency, people are suffering here, and your coming has brought hope as the people will have food, and shelter for their wellbeing," he said.During the function, President Mutharika presented symbolically relief items to some of the affected people.Six people died and 66 others were injured, while over 13 thousand families were rendered homeless in Balaka following the rains which hit most areas of the Southern region, and the affected have sought refuge in nearby schools.Source: ManaFloods affect thousands of learners.
5	2019-03-15T01:43:40	From smiles of rains that crops are to grow, sorrow followed after the heavy downpour that lasted for a couple of days a week ago leading to floods in many districts across Malawi.At least 56 people have been recorded to have died due to the floods according to the Department of Disaster Management Affairs (DODMA) while 557 have been injured.A total of 184,589 households have been affected with an approximate of 922,949 people being forced to abandon their shattered homes to nearby camps.An assessment done in Phalombe district revealed that a total of 1152 learners who are boys and 1341 learners who are girls have affected by the floods from 8 schools zones in the district.Responding to the disaster, various stakeholders have donated relief items to the victims across the country, among the items being blankets, buckets, maize flour.Though the response to the victims has been noted to be quite good, stakeholders have failed to come to the rescue of school going students who have lost their books and notebooks due to the floods.Spot checks in some camps in Phalombe district showed students drying their notebooks on the sun for them to use in schools.Rhoda Kimu from Bona village explained that most of the learners have lost their school materials due to the floods that hit the district.“We have lost our domestic animals, houses, everything that we were depending on and we need to start rebuilding what we had before the floods" said Kimu.Her explanation to the calamity coupled by poverty to many citizens in the rural set up who are also recorded to have been affected due to improper housing, reveal that many parents are to fail to provide school necessities like notebooks.      Blantyre Press Club organizes show for flood victims.
6	2019-03-19T00:51:52	The Blantyre Press Club has organized a fundraising show this Friday in Blantyre to reach out to thousands of people affected by floods in Chikwawa.In an interview with this reporter, Blantyre Press Club (BPC) president Blessings Kanache who confirmed the development, said realising that there are thousands of people in 15 districts in dire need of support, the club decided to lead by example.Kanache said being Malawian journalists it means those suffering from the effects of the floods are their brothers and sisters hence organizing the show in aid to Chikwawa district flood victims.He said their plan to donate to Chikwawa is because it is one of the worst affected district and they understand there are more people requiring urgent assistance.According to Kanache, if they manage to solicit more donations, the club will also donate to Nsanje and Blantyre districts.Kanache said the fundraising show will be held at Mibawa Multi-purpose Hall in Limbe from 8PM and it has been put at K2500 per head where Malawi’s reggae giants The Black Missionaries are expected to perform.“BPC is saddened that the majority of those suffering are children who have lost everything including food and school materials. The club is working with various partners including the Malawi Red Cross to ensure that every penny collected reach to beneficiaries," he said.Kanache added that the club is aware that people have clothes, shoes, kitchen utensils, pails and buckets which they don’t use and is encouraging people to bring items so that they are donated to the flood victims.“BPC is therefore inviting all people of good will to come to this event on Friday but should also take time to visit people affected by floods to appreciate that these people need everyone’s support." Added Kanache.The organisers are also encouraging those planning to donate towards to the cause, to also join the media and partners during the handover of the donation to the beneficiaries.Billions wasted: Nsanje dyke fails to control flooding.
7	2019-03-23T14:37:28	For years, Malawi has faced tragic floods resulting in a great loss of lives and property.This year 56 people have died due to floods.In 2012, floods the southern districts affected over 10, 000 people and caused $3million worth of damage to households and infrastructure.In 2015, statisticians said an estimate of 1, 101, 264 people were affected, 230, 000 displaced, over 170 killed and 172 reported missing. The assessment has shown that total damage and loss was $335 million while total cost of recovery and reconstruction was $494 million.But this year, floods remain much larger in magnitude, even unprecedented as meanwhile, there are fears of further floods as the Department of Meteorology and Climate Change warns of more heavy downpours that could trigger flash floods in floods prone districts.Billions of Kwacha have been spent over the decades on flood reduction programmes in the southernmost districts but seemingly.In 2018, MK290 million was allocated to Shire River Basin Management Programme BRL to construct an 823 meter dyke along the Nkhande river in the area of Senior Chief Tengani in Nsanje. The main aim of the dyke was to protect the communities from floods the dyke was constructed substandard which would not protect the residents as intended.Later, Malawi vice president Saulos Chilima blasted Anati Jere, the engineer for poor work on the construction and called it a ‘waste of resources’.Each year, plenty of billions are allocated to monitor floods and recover damages and as well as reconstruct the flooded areas. But what does the government do to reduce floods?It appears that up to date, the areas which experience floods perpetually have not taken any precautionary acts such to diminish upcoming unexpected floods.It is very clear that the billions that have been flowing over the decades for floods relief, if they were spent appropriately, some measures that would have prevented more damages this current flood would have been less unforeseen. The government usually acts on floods once they strike but never acts before a disaster. It could have improved Malawi’s flooding warning systems enabling people to have more time to take action before the floods, potentially saving lives and property damages.The Government, with all the funds it obtains from flood relief programs, up to now hasn’t introduced very crucial schemes in flood prone areas such as constructing buildings above flood levels. Up to now, districts like Chikwawa, Phalombe, and Nsanje still build houses at below flood levels and most of their houses are poorly constructed as they are not concrete and get easily washed away.There’s a lot that Malawi Government would have done to reduce floods but it is not acting with much emphasis. Rather, the appointed authorities responsible for helping the country are too sensitive about money and they are very corrupt.There’s is no silver bullet for fighting corruption. Many countries have made significant progress curbing the behaviour, however practitioners are always on the lookout for solutions and evidence of impact.Corruption is the major key affecting the poverty line in Malawi. If the Government doesn’t take serious precautions to reduce floods, more                                                              avoidable disasters will still come.Botswana donates to Malawians affected by floods.
8	2019-03-29T15:53:26	The Government of Botswana on Friday donated assorted relief items to their Malawi counterparts, for people affected by the March 2019 floods.A plane from the Botswana Defence Force arrived at Chileka Airport in Blantyre, at 11.55 am, carrying one tonne of corned beef, ten tonnes of children’s food supplements, four tonnes of beef and 500 blankets.Botswana High Commissioner to Malawi His Excellency Lt. Gen. Louis Matshwenyego (retired), said the donation signifies the brotherly relationship that exists between the two countries.“The People of Malawi are our brothers. The relationship between the two countries dates back to a long time ago. We cannot sit and shut our eyes and forget our brotherly relationship in this trying moment," said Matshwenyego.In his remarks, Principal Secretary and Commissioner for Disaster Management Affairs Wilson Moleni, expressed gratitude to the Government of Botswana.“President Prof. Arthur Peter Mutharika made an appeal for donations when he declared state of national disaster in areas affected by disasters, on 8th March.“The Government of Botswana has showcased brotherhood. The donation will address some of the challenges we are experiencing in camps. Government and partners have been providing relief assistance to the affected people but the need is overwhelming," said Moleni.The Government of Botswana will provide seven more tonnes of relief supplies in due course. The presentation ceremony is shown in pictures below.Petroleum Importers Limited reach out to Phalombe flood victims.
9	2019-03-30T04:40:18	Major fuel importer in the country, Petroleum Importers Limited donated K10m worth of relief items to flood victims through World Vision Malawi at Dzanjo camp in Phalombe district.Presenting the items, PIL General Manager Dr Enwell Kadango said the donation is in response to appeal for relief made by President Professor Arthur Peter Mutharika following the occurrence of floods caused by a rain-dumping tropical storm.The storm moved into the Indian Ocean where it gathered and returned to land as Cyclone Idai, killing hundreds of people, destroying infrastructure and displacing thousands of people on the Mozambican port city of Beira.Following the declaration of state of emergency in the affected districts, we at PIL felt obliged to play a part in relieving the government, and affected population of the burden caused by the floods," he said.Kadango said PIL will continue to monitor the aftermath of the floods after preliminary estimates indicated that long-term negative impact on food security, and livelihoods would be significant.“PIL believes that government alone cannot address the challenge, and thus as private sector, we are duty bound to come in and assistHe added that PIL collaborated World Vision because the humanitarian organization understands the degree of the damage and the needs of the affected people. WORLD Vision works in these communities and have structures to help distribute these relief items to the masses.World Vision District Programs Manager for Phalombe Samson Semu thanked PIL for the kind gesture saying it will go a long way.“The affected people are in dire need of humanitarian aid and this donation is of paramount importance in the rebuilding exercise. I would like to thank PIL for coming in to alleviate some of the challenges being faced by these people," said Semu.While acknowledging the efforts made by PIL, Semu emphasized on the need for long-term assistance as people in the affected areas have lost everything.Receiving the items, one of the victims, Ellis Simudya of Njobvu village thanked PIL and World Vision saying it has come in time when they are in need of life sustaining materials.Malawi received heavy rains that led to floods in 14 districts. The floods swept districts more especially in the southern region, killing 56 people and livestock and damaging property and crops on numerous hectares of farmland. First Capital Bank donates K10 million towards flood relief initiative .
10	2019-03-31T07:12:23	In response to devastated floods that has left thousands  of people homeless, First Capital Bank Plc has donated K10 million towards relief initiativeFCB has since partnered with La Caverna’s “Blue Buckets of Hope" to facilitate the initiative which will enable families within Luchenza, Mulanje and Chikwawa to start rebuilding their lives in the wake of the recent floods.Speaking during the cheque presentation in Blantyre, FCB Acting Chief Executive Officer, and Thomas Kadantot said the Bank is very passionate about the well-being of the community it operates.“We were deeply concerned by the plight facing millions of Malawians since the cyclone hit. Through this initiative the bank intends to assist the small pocket areas where individuals could potentially have been forgotten because FCB believe that as a bank, we can’t make progress if large parts of the population are living in dire straits," said Kadantot.Kadantot said  the bank  has  a social responsibility to contribute in providing Malawians a clean bill of health saying the donation to floods victims  demonstrate its  long-term commitment to the country.“We continue to be moved by the plight of Malawians who are failing receive access to clean water and food due to the hard hitting floods. With thousands of people affected, we could not sit back and watch our countrymen endure such suffering.  It is against this background that the bank has decided to commit MK10million towards providing support that will go towards the immediate needs of individuals living in Luchneza, Chikhwawa among others communities," he saidLa Caverna Arts Gallery Director Lois Losacco thanked FCB for the support saying it will go a long way in providing immediate needs for the victims.“We are partnering with various Community Based Organisations and NGOs working directly with the victims in the worst hit areas. We partnered  Sotto Sopra, Tiyamike, Kid’s World, and Joshua orphan care centre spans the southern region, having been active in their areas for more than 20 years and the knowledge our partners have in supporting the families of flood relief and long-term improvement cannot be underestimated," said Losacco.The MK10million donation will go towards the purchase of Likuni phala, nutritional food supplements, and rice, blankets, and water guard, as well building toolkits to assist community members in their rebuilding of their homes   African Union donates K74 million to Malawi flood victims.
11	2019-04-07T22:46:00	The African Union (AU) has donated US$100,000 (about K74 million) towards Malawi’s flood disaster response.In-coming chairperson of the AU Sub-Committee on Refugees, Returnees and Displaced Persons, Rebecca Otengo made the announcement about the donation on Saturday when she visited flood victims residing at Nyangu Camp in T/A Makhuwira, Chikwawa.“We have made a donation of US$100,000 and although this is not a huge sum of money, we believe that it will make a difference in alleviating challenges being faced by people in need of relief assistance," said Otengo, who was in the company of three other senior officials from the AU.Otengo, whose organization has also donated US$100,000 and US$150,000 to Zimbabwe and Mozambique respectively, called on the affected people to take experts’ advised seriously.“When you are told to move upland, please do so, this is for your own good," said Otengo who also advised parents to ensure that their children are attending classes at their various schools.In his remarks, DoDMA’s Director of Response and Recovery Harris Kachale commended AU for the donation and visit.“You have travelled a very long distance to visit the affected people in their camps. This really shows that you care and that you wanted to have first-hand information with regard to the situation following the devastating floods which left over 89,000 people displaced. Your donation is a sign of unconditional unity amongst AU member states," said Kachale.The AU officials arrived in the country on Thursday, on humanitarian assessment mission, following flood disasters that affected 15 districts of the country.They were accompanied to Chikwawa and Nsanje by officials from DoDMA, the Malawi Defence Force and the South African National Defence Force.Student swept away by flooded Mudi River.
